Date,Open,High,Low,Close,Adj Close,Volume
1993-04-22,44.3125,44.6875,43.9375,43.9375,25.838830947875977,97700
1993-04-23,43.84375,43.96875,43.6875,43.75,25.728572845458984,106000
1993-04-26,43.78125,43.9375,43.28125,43.40625,25.526418685913086,62600
1993-04-27,43.34375,43.875,43.34375,43.875,25.802082061767578,156800
1993-04-28,43.8125,43.90625,43.71875,43.78125,25.74695587158203,85900
1993-04-29,43.875,43.96875,43.625,43.96875,25.85722541809082,85000
1993-04-30,44.125,44.28125,44.03125,44.03125,25.893983840942383,88500
1993-05-03,44.09375,44.3125,43.90625,44.3125,26.05936050415039,80500
1993-05-04,44.40625,44.625,44.34375,44.46875,26.151268005371094,149100
1993-05-05,44.46875,44.75,44.46875,44.59375,26.224777221679688,109000
1993-05-06,44.53125,44.5625,44.40625,44.4375,26.132884979248047,54700
1993-05-07,44.46875,44.46875,44.28125,44.34375,26.077756881713867,68000
1993-05-10,44.40625,44.6875,44.40625,44.4375,26.132884979248047,113900
1993-05-11,44.4375,44.625,44.3125,44.625,26.243152618408203,42600
1993-05-12,44.4375,44.59375,44.4375,44.5625,26.206384658813477,31000
1993-05-13,44.375,44.375,44.0,44.03125,25.893983840942383,129100
1993-05-14,44.03125,44.15625,43.96875,44.0,25.87559700012207,63500
1993-05-17,44.125,44.15625,43.9375,44.15625,25.967479705810547,34000
1993-05-18,44.1875,44.21875,43.96875,44.125,25.9491024017334,105200
1993-05-19,44.125,45.03125,43.84375,45.03125,26.4820499420166,50200
1993-05-20,45.03125,45.15625,44.9375,45.15625,26.55558204650879,98200
1993-05-21,45.1875,45.25,44.71875,44.75,26.316675186157227,221400
1993-05-24,44.84375,45.09375,44.84375,44.9375,26.426912307739258,30500
1993-05-25,45.125,45.125,45.03125,45.03125,26.4820499420166,191800
1993-05-26,45.15625,45.625,45.125,45.59375,26.812841415405273,102400
1993-05-27,45.65625,45.65625,45.375,45.4375,26.72096061706543,53800
1993-05-28,45.40625,45.40625,45.0,45.21875,26.592315673828125,79100
1993-06-01,45.375,45.8125,45.3125,45.65625,26.849590301513672,28300
1993-06-02,45.53125,45.75,45.34375,45.59375,26.812841415405273,20300
1993-06-03,45.5,45.5,45.34375,45.4375,26.72096061706543,21600
1993-06-04,45.3125,45.3125,45.09375,45.28125,26.629072189331055,32000
1993-06-07,45.375,45.375,45.125,45.125,26.53719139099121,121400
1993-06-08,45.0,45.0,44.71875,44.71875,26.298294067382812,104500
1993-06-09,44.875,45.0625,44.8125,44.875,26.39017677307129,43300
1993-06-10,44.84375,44.9375,44.75,44.90625,26.408552169799805,17900
1993-06-11,45.0625,45.15625,44.90625,45.09375,26.51880645751953,647400
1993-06-14,45.15625,45.1875,45.03125,45.03125,26.4820499420166,64200
1993-06-15,45.09375,45.125,44.9375,44.9375,26.426912307739258,142400
1993-06-16,44.9375,45.03125,44.8125,45.03125,26.4820499420166,330900
1993-06-17,45.125,45.1875,45.03125,45.1875,26.57394027709961,37400
1993-06-18,44.84375,44.84375,44.5,44.5,26.35509490966797,58500
1993-06-21,44.625,44.625,44.53125,44.59375,26.410629272460938,29300
1993-06-22,44.65625,44.65625,44.5625,44.625,26.429141998291016,137500
1993-06-23,44.625,44.625,44.21875,44.21875,26.188541412353516,227600
1993-06-24,44.34375,44.8125,44.34375,44.8125,26.540180206298828,243700
1993-06-25,44.78125,44.90625,44.75,44.78125,26.521677017211914,44800
1993-06-28,45.0,45.28125,44.9375,45.28125,26.817794799804688,439900
1993-06-29,45.21875,45.21875,45.0,45.0625,26.688255310058594,207500
1993-06-30,45.125,45.21875,45.0,45.0625,26.688255310058594,437600
1993-07-01,45.125,45.125,44.875,44.9375,26.61421775817871,605700
1993-07-02,44.78125,44.8125,44.53125,44.6875,26.46615219116211,285400
1993-07-06,44.625,44.75,44.15625,44.21875,26.188541412353516,246400
1993-07-07,44.1875,44.40625,44.1875,44.34375,26.262571334838867,343700
1993-07-08,44.375,44.9375,44.3125,44.84375,26.55868911743164,248200
1993-07-09,44.84375,44.96875,44.75,44.96875,26.63273048400879,378200
1993-07-12,44.90625,44.96875,44.84375,44.9375,26.61421775817871,373700
1993-07-13,44.96875,45.09375,44.65625,44.90625,26.595706939697266,389600
1993-07-14,44.9375,45.1875,44.90625,45.0625,26.688255310058594,617300
1993-07-15,45.03125,45.03125,44.78125,44.875,26.577207565307617,443800
1993-07-16,44.90625,44.9375,44.6875,44.75,26.5031795501709,216400
1993-07-19,44.75,44.75,44.59375,44.71875,26.484668731689453,188200
1993-07-20,44.6875,44.84375,44.46875,44.84375,26.55868911743164,68500
1993-07-21,44.78125,44.8125,44.65625,44.8125,26.540180206298828,142700
1993-07-22,44.75,44.8125,44.5,44.5,26.35509490966797,632400
1993-07-23,44.59375,44.71875,44.5625,44.71875,26.484668731689453,286200
1993-07-26,44.84375,45.0625,44.84375,44.96875,26.63273048400879,121300
1993-07-27,45.0,45.03125,44.78125,44.9375,26.61421775817871,92800
1993-07-28,44.84375,44.9375,44.78125,44.84375,26.55868911743164,30800
1993-07-29,44.9375,45.21875,44.875,45.09375,26.706758499145508,331000
1993-07-30,45.09375,45.09375,44.78125,44.84375,26.55868911743164,75300
1993-08-02,44.90625,45.125,44.90625,44.96875,26.63273048400879,41300
1993-08-03,45.0625,45.1875,44.84375,45.0,26.65123748779297,81600
1993-08-04,45.0,45.09375,44.875,45.0,26.65123748779297,434000
1993-08-05,45.0,45.0,44.84375,44.90625,26.595706939697266,36800
1993-08-06,45.03125,45.0625,44.90625,44.96875,26.63273048400879,402300
1993-08-09,45.09375,45.34375,45.0,45.21875,26.78078842163086,828200
1993-08-10,45.1875,45.21875,45.125,45.1875,26.762290954589844,604900
1993-08-11,45.15625,45.3125,45.15625,45.1875,26.762290954589844,542200
1993-08-12,45.3125,45.3125,44.90625,45.0625,26.688255310058594,303700
1993-08-13,45.09375,45.15625,45.09375,45.125,26.725265502929688,103500
1993-08-16,45.15625,45.5,45.15625,45.375,26.873340606689453,241800
1993-08-17,45.34375,45.53125,45.34375,45.53125,26.965871810913086,369300
1993-08-18,45.6875,45.875,45.65625,45.78125,27.11393165588379,414300
1993-08-19,45.8125,45.8125,45.71875,45.78125,27.11393165588379,28500
1993-08-20,45.6875,45.8125,45.65625,45.8125,27.132442474365234,80700
1993-08-23,45.625,45.75,45.625,45.71875,27.076923370361328,15600
1993-08-24,45.71875,46.21875,45.71875,46.21875,27.373035430908203,273400
1993-08-25,46.21875,46.4375,46.15625,46.25,27.391559600830078,242300
1993-08-26,46.28125,46.53125,46.09375,46.28125,27.410066604614258,120000
1993-08-27,46.15625,46.25,46.15625,46.25,27.391559600830078,25700
1993-08-30,46.28125,46.5,46.28125,46.4375,27.50259017944336,183500
1993-08-31,46.40625,46.5625,46.34375,46.5625,27.576618194580078,66500
1993-09-01,46.40625,46.59375,46.40625,46.5,27.539596557617188,136500
1993-09-02,46.53125,46.59375,46.3125,46.34375,27.44707489013672,472400
1993-09-03,46.3125,46.4375,46.25,46.375,27.465579986572266,630500
1993-09-07,46.375,46.4375,46.0,46.0625,27.280502319335938,196400
1993-09-08,46.0625,46.0625,45.59375,45.90625,27.187959671020508,269900
1993-09-09,45.71875,46.03125,45.71875,46.0,27.243480682373047,239200
1993-09-10,46.125,46.4375,46.0625,46.40625,27.484086990356445,106500
1993-09-13,46.5625,46.5625,46.4375,46.4375,27.50259017944336,66900
1993-09-14,46.3125,46.3125,46.09375,46.25,27.391559600830078,184500
1993-09-15,46.0625,46.40625,45.90625,46.375,27.465579986572266,101000
1993-09-16,46.3125,46.34375,46.15625,46.1875,27.35451889038086,54300
1993-09-17,45.875,45.90625,45.75,45.8125,27.301496505737305,200900
1993-09-20,45.875,45.96875,45.4375,45.4375,27.0780086517334,57800
1993-09-21,45.5,45.5625,44.8125,45.28125,26.984891891479492,318200
1993-09-22,45.4375,45.71875,45.375,45.65625,27.2083797454834,439700
1993-09-23,45.78125,45.9375,45.71875,45.90625,27.357362747192383,88500
1993-09-24,45.84375,45.875,45.71875,45.78125,27.28287124633789,53500
1993-09-27,46.125,46.28125,46.125,46.28125,27.58085060119629,274600
1993-09-28,46.3125,46.3125,46.15625,46.1875,27.52495574951172,158300
1993-09-29,46.1875,46.3125,45.96875,46.03125,27.431852340698242,221000
1993-09-30,46.03125,46.125,45.84375,45.9375,27.375980377197266,99300
1993-10-01,45.875,46.21875,45.8125,46.15625,27.50634765625,22700
1993-10-04,46.21875,46.21875,46.09375,46.21875,27.5435848236084,1038500
1993-10-05,46.3125,46.3125,46.0,46.15625,27.50634765625,436500
1993-10-06,46.1875,46.375,46.125,46.125,27.487722396850586,209200
1993-10-07,46.1875,46.1875,45.96875,46.0,27.413232803344727,59400
1993-10-08,46.125,46.15625,45.71875,46.0625,27.450481414794922,54400
1993-10-11,46.15625,46.25,46.15625,46.15625,27.50634765625,467100
1993-10-12,46.21875,46.25,46.1875,46.21875,27.5435848236084,26200
1993-10-13,46.25,46.25,46.15625,46.21875,27.5435848236084,139100
1993-10-14,46.40625,46.8125,46.28125,46.8125,27.897430419921875,108100
1993-10-15,47.03125,47.15625,46.90625,47.0625,28.046415328979492,1502500
1993-10-18,47.03125,47.03125,46.875,46.9375,27.971935272216797,722400
1993-10-19,46.875,46.96875,46.59375,46.59375,27.767070770263672,880100
1993-10-20,46.75,46.75,46.5625,46.65625,27.804306030273438,230400
1993-10-21,46.6875,46.6875,46.53125,46.59375,27.767070770263672,56200
1993-10-22,46.65625,46.84375,46.375,46.375,27.636709213256836,390700
1993-10-25,46.40625,46.5625,46.28125,46.5,27.7111873626709,114500
1993-10-26,46.46875,46.5,46.3125,46.46875,27.692577362060547,186200
1993-10-27,46.40625,46.53125,46.40625,46.5,27.7111873626709,118400
1993-10-28,46.5625,46.96875,46.5625,46.84375,27.916057586669922,129600
1993-10-29,46.8125,46.875,46.78125,46.84375,27.916057586669922,80700
1993-11-01,46.78125,47.0,46.78125,46.96875,27.99054718017578,36400
1993-11-02,46.90625,47.0,46.65625,46.9375,27.971935272216797,262100
1993-11-03,46.90625,46.90625,46.125,46.34375,27.618091583251953,479100
1993-11-04,46.34375,46.34375,45.8125,45.84375,27.320125579833984,130400
1993-11-05,45.71875,46.0625,45.53125,46.0625,27.450481414794922,363200
1993-11-08,46.09375,46.25,45.96875,46.125,27.487722396850586,367600
1993-11-09,46.4375,46.46875,46.125,46.15625,27.50634765625,246900
1993-11-10,46.15625,46.5,46.03125,46.5,27.7111873626709,46500
1993-11-11,46.5,46.625,46.34375,46.375,27.636709213256836,88900
1993-11-12,46.46875,46.75,46.4375,46.59375,27.767070770263672,108200
1993-11-15,46.6875,46.6875,46.4375,46.5625,27.74843978881836,243300
1993-11-16,46.65625,46.8125,46.46875,46.78125,27.878801345825195,492600
1993-11-17,46.8125,46.8125,46.40625,46.53125,27.729820251464844,39600
1993-11-18,46.46875,46.5625,46.28125,46.40625,27.65532875061035,240800
1993-11-19,46.25,46.375,46.21875,46.3125,27.599449157714844,106000
1993-11-22,46.1875,46.21875,45.875,46.03125,27.431852340698242,165300
1993-11-23,46.28125,46.3125,46.03125,46.28125,27.58085060119629,89700
1993-11-24,46.40625,46.5,46.34375,46.46875,27.692577362060547,77200
1993-11-26,46.59375,46.59375,46.46875,46.5,27.7111873626709,1019800
1993-11-29,46.625,46.71875,46.3125,46.3125,27.599449157714844,517500
1993-11-30,46.28125,46.5625,46.25,46.34375,27.618091583251953,230000
1993-12-01,46.59375,46.625,46.40625,46.40625,27.65532875061035,379200
1993-12-02,46.5,46.5625,46.40625,46.53125,27.729820251464844,352000
1993-12-03,46.5,46.71875,46.5,46.71875,27.841564178466797,306000
1993-12-06,46.78125,46.9375,46.78125,46.875,27.934682846069336,99500
1993-12-07,46.875,46.90625,46.78125,46.84375,27.916057586669922,88800
1993-12-08,46.84375,46.84375,46.78125,46.84375,27.916057586669922,146700
1993-12-09,46.84375,46.90625,46.625,46.6875,27.82293128967285,416500
1993-12-10,46.71875,46.71875,46.5,46.59375,27.767070770263672,412900
1993-12-13,46.59375,46.875,46.53125,46.875,27.934682846069336,273200
1993-12-14,46.90625,46.90625,46.53125,46.53125,27.729820251464844,41900
1993-12-15,46.59375,46.625,46.46875,46.46875,27.692577362060547,82600
1993-12-16,46.65625,46.65625,46.5625,46.625,27.78569793701172,78200
1993-12-17,46.40625,46.59375,46.375,46.5625,27.938398361206055,104700
1993-12-20,46.53125,46.65625,46.5,46.625,27.975900650024414,68800
1993-12-21,46.5625,46.5625,46.40625,46.46875,27.882139205932617,205700
1993-12-22,46.59375,46.8125,46.5,46.78125,28.06964111328125,410300
1993-12-23,46.75,46.84375,46.6875,46.75,28.050907135009766,533800
1993-12-27,46.75,47.0,46.75,47.0,28.200908660888672,447100
1993-12-28,46.96875,47.125,46.9375,47.09375,28.25716781616211,880600
1993-12-29,47.125,47.15625,47.0,47.03125,28.219648361206055,266700
1993-12-30,47.0,47.0,46.75,46.84375,28.107158660888672,219900
1993-12-31,46.9375,47.0,46.5625,46.59375,27.957151412963867,312900
1994-01-03,46.59375,46.65625,46.40625,46.46875,27.882139205932617,960900
1994-01-04,46.53125,46.65625,46.46875,46.65625,27.99464225769043,164300
1994-01-05,46.71875,46.78125,46.53125,46.75,28.050907135009766,710900
1994-01-06,46.8125,46.84375,46.6875,46.75,28.050907135009766,201000
1994-01-07,46.84375,47.0625,46.71875,47.03125,28.219648361206055,775500
1994-01-10,47.09375,47.59375,46.96875,47.59375,28.557153701782227,593700
1994-01-11,47.5625,47.5625,47.34375,47.5,28.500919342041016,295200
1994-01-12,47.53125,47.53125,47.1875,47.34375,28.407163619995117,158400
1994-01-13,47.21875,47.3125,47.15625,47.21875,28.3321590423584,244300
1994-01-14,47.375,47.5,47.375,47.40625,28.444665908813477,137200
1994-01-17,47.40625,47.46875,47.3125,47.40625,28.444665908813477,17700
1994-01-18,47.46875,47.53125,47.375,47.46875,28.482166290283203,166400
1994-01-19,47.40625,47.46875,47.25,47.34375,28.407163619995117,200800
1994-01-20,47.40625,47.5,47.375,47.46875,28.482166290283203,281100
1994-01-21,47.53125,47.53125,47.34375,47.375,28.425931930541992,85600
1994-01-24,47.34375,47.5625,47.1875,47.1875,28.313419342041016,373800
1994-01-25,47.21875,47.25,47.09375,47.1875,28.313419342041016,310400
1994-01-26,47.1875,47.34375,47.125,47.3125,28.388418197631836,145100
1994-01-27,47.40625,47.8125,47.34375,47.75,28.65091323852539,344500
1994-01-28,47.9375,48.03125,47.875,47.875,28.725910186767578,356500
